calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,sugars,water
329,3.5,2,0,13,3.36,363,10.62,72.09,6.7,2.53,12.4
884,100,0,0,0,0,0,0,0,0,0,0
277,4.3,574,0,91,2.71,114,8.6,50.2,3.2,0.31,34.8
144,8.6,189,0,28,0.21,140,0.91,15.65,2,13.54,73.99
75,0.3,10,0,36,0.59,375,1.2,17.99,4.9,4.8,79.53
32,0.6,17,0,232,0.47,213,3.02,5.42,4,0.46,89.62
394,32,604,24,685,0.76,127,23.76,2.57,0,0.52,38.2
350,34,314,0,97,0.11,132,6.15,5.52,0,3.76,52.62
247,20,907,56,11,0.77,281,15.3,0.73,0,0,60.6
42,0.3,100,0,43,0.7,300,1.5,9.2,1.8,1.6,88
71,0.9,10,0,62,0.86,186,1.88,15.9,6.5,9.36,80.85
246,7,4,0,58,5.41,566,17.3,66.22,15.4,1.45,6.55
408,21,750,2,90,2.49,84,10.42,44.83,2.1,2.08,21.13
393,31,187,0,890,0.13,72,26.96,1.44,0,0,37.63
356,27,819,20,700,0.24,121,24.94,2.22,0,2.22,41.46
302,0.4,134,0,166,4.56,1927,12.91,74.68,16.5,43.9,3.06
353,29,1146,21,528,0.31,256,21.4,2.34,0,0.5,42.41
334,28,629,20,184,0.5,152,20.75,0.45,0,0.45,48.42
101,1.7,9,0,405,17.45,609,5.56,24.45,14,0,65.11
21,0.2,4,0,86,0.22,288,0.9,4.54,1.8,1.1,93.61
884,100,0,0,0,0,0,0,0,0,0,0
884,100,0,0,0,0,0,0,0,0,0,0
884,100,0,0,0,0,0,0,0,0,0,0
26,0.1,1,0,21,0.8,340,1,6.5,0.5,2.76,91.6
99,0.9,143,0,9,0.26,112,15.18,6.85,0,0,76.34
267,3.2,508,0,133,3.49,177,10.72,48.68,4,5.91,35.2
357,28,812,20,731,0.44,188,24.99,1.43,0,1.43,41.56
264,21,917,16,493,0.65,62,14.21,4.09,0,4.09,55.22
383,1.7,16,0,23,4.64,115,9.3,80.9,2.6,0.33,7.6
66,0.3,14,0,14,0.6,278,1,16.84,3.3,13.54,81.16
892,99,0,0,1,0.05,0,0,0,0,0,0.03
339,2.5,2,0,34,3.52,431,13.68,71.13,0,0,10.94
358,17,1070,0,55,2.86,115,7.5,43.55,2,4.04,28.4
382,4.3,4,0,14,3.94,224,10.75,75.12,3.5,1.66,8.67
25,0.7,27,0,160,1.46,369,2.58,3.65,1.6,2.05,91.71
357,0.3,55,0,65,1.38,1001,6.9,83.1,5.9,3.52,6.52
66,0.4,1,0,5,0.31,171,0.83,16.53,1.3,15.23,81.76
23,0.4,79,0,99,2.71,558,2.86,3.63,2.2,0.42,91.4
884,100,0,0,0,0,0,0,0,0,0,0
884,100,0,0,0,0,0,0,0,0,0,0
299,6,483,0,11,3.21,74,7.1,52.6,1.9,0.18,32.6
352,1.1,6,0,35,6.51,677,24.63,63.35,10.7,2.03,8.26
900,100,0,191,0,0,0,0,0,0,0,0.2
160,0.3,14,0,16,0.27,271,1.36,38.06,1.8,1.7,59.68
89,0.3,1,0,5,0.26,358,1.09,22.84,2.6,12.23,74.91
43,0.3,8,0,20,0.25,182,0.47,10.82,1.7,7.82,88.06
30,0.7,3,0,92,1.6,296,3.27,4.35,2.5,1.85,90.65
222,0.7,35,0,348,2.94,827,4.62,88.88,39.8,49.08,3.58
900,100,0,191,0,0,0,0,0,0,0,0.2
270,20,16,0,372,4.87,146,18.82,8.86,3.9,2.72,50.52
21,0.7,80,0,93,3.3,470,1.8,3.06,0,0,93
60,0.4,1,0,11,0.16,168,0.82,14.98,1.6,13.66,83.46
149,0.5,17,0,181,1.7,401,6.36,33.06,2.1,1,58.58
94,1.8,35,0,118,1.06,47,3.5,15.96,0.2,1.24,77.5
278,2.1,505,0,13,3.98,68,10.6,53,2.3,0,32.7
342,1.3,17,0,35,2.46,410,12.29,75.87,12.5,0.41,9
61,0.4,3,0,17,0.14,172,0.71,15.21,6.4,8.2,83.28
378,4.2,5,0,8,3.01,195,11.02,72.85,8.5,0,8.67
263,21,1245,26,10,0.79,311,16.28,1.84,0,0,57.35
884,100,0,0,0,0,0,0,0,0,0,0
884,100,0,0,0,0,0,0,0,0,0,0
884,100,0,0,0,0,0,0,0,0,0,0
409,9.7,375,0,444,2.7,333,5.55,74.72,8.3,30.56,7.74
16,0.6,318,0,30,0.21,86,2,0.4,0,0.09,96
900,100,0,0,0,0,0,0,0,0,0,0.2
259,3.3,603,0,73,2.83,166,8.5,48.3,5.8,3.85,37.3
224,10,217,0,8,0.5,125,1.9,32.9,0.8,16.23,54.4
111,2,4,0,15,2.2,131,2.3,23.9,6.2,14.1,71.4
287,6,380,16,93,3.04,115,9.5,47.8,2.3,1.78,34.7
343,3.4,1,0,18,2.2,460,13.25,71.5,10,0,9.75
884,100,0,0,0,0.01,0,0,0,0,0,0
882,100,0,191,0,0,0,0,0,0,0,0.2
336,2.1,5,0,37,2.57,332,13.05,72.13,0,0,10.51
338,1.6,2,0,24,2.63,510,10.34,75.86,15.1,0.98,10.6
49,0.9,38,0,150,1.47,491,4.28,8.75,3.6,2.26,84.04
74,0.3,1,0,35,0.37,232,0.75,19.18,2.9,16.26,79.11
109,2.3,82,0,13,2.83,385,20.6,0,0,0,75.84
426,9.7,227,0,20,0.6,305,10.1,74.2,2.5,12.5,4.5
884,100,0,0,0,0,0,0,0,0,0,0
88,4.2,54,49,130,0.2,165,4.55,8.05,0,8.05,82.54
192,11,9,0,111,2.7,412,20.29,7.64,0,0,59.65
292,11,3390,0,41,0.5,182,2.23,46.13,6.1,13.2,31.7
211,11,7,0,217,8.6,729,19.4,12.68,5.4,4.89,55.02
76,1.7,9,0,80,1.3,213,3.52,12.23,0,0,81.64
371,3.3,1745,0,143,7.8,1000,25.56,59.87,18.6,0,3.49
902,100,0,102,0,0,0,0,0,0,0,0
389,6.9,2,0,54,4.72,429,16.89,66.27,10.6,0,8.22
198,6,3728,0,57,2.49,210,12.79,25.37,5.4,6.2,43.02
265,4.3,25,0,1597,36.8,1260,9,68.92,42.5,4.09,9.93
74,1.1,9,0,224,4,176,5.85,14.1,0,0,76.85
86,1.2,15,0,2,0.52,270,3.22,19.02,2.7,3.22,75.96
340,2.5,2,0,34,3.6,363,13.21,71.97,10.7,0.41,10.74
175,13,110,0,34,0.29,162,0.89,13.01,1.6,11.07,72.18
105,2,158,0,31,1.78,435,20.28,0,0,0,75.85
433,14,580,0,31,4.01,210,6.6,72.7,3.4,37.43,4.5
22,0.4,9,10,3,0.31,364,2.11,3.87,1.3,2.5,92.82
117,3.8,65,61,41,1.02,357,19.35,0,0,0,77.01
143,9.5,297,82,56,1.75,138,12.51,0.71,0,0.37,75.85
475,15,1174,0,20,4.73,120,8.11,72.8,3.7,5.71,1.18
884,100,0,0,1,0,0,0.11,0,0,0,0.12
338,1.8,2,0,35,2.59,466,13.18,73.14,14.6,0,10.01
373,30,1131,22,680,0.47,87,21.44,4.63,0,4.63,38.06
386,18,420,0,1600,5.4,1000,56.19,0,0,0,16.92
283,20,81,2,22,1.79,339,24.75,0,0,0,55.09
477,30,6,0,364,9.73,20,52.47,10.03,7.2,0,5.78
200,14,653,8,10,0.61,183,11.64,7.41,0,0,66.17
336,26,1740,41,15,1.56,316,21.85,2.4,0,0.96,45.19
366,1.4,0,0,10,0.35,76,5.95,80.13,2.4,0.12,11.89
95,0.2,58,0,152,0.07,194,4.4,19,0,19,75.4
477,20,571,0,41,4.2,245,8.4,66.85,4,13,2
435,13,9,0,83,2.9,425,6.8,73.7,3.4,24.2,5.7
130,5.2,77,0,10,6.25,226,18.28,1.42,0,0,74.12
143,6.4,91,484,22,0.6,221,22.32,1.5,0,0,67.73
117,4.3,672,685,11,0.85,175,18.28,0,0,0,72
85,4.2,33,0,149,1.69,0,10.92,0.97,0.9,0.4,82.87
412,16,802,3,128,3.46,212,9.62,57.29,6.4,0,14.26
526,37,41,0,159,15.17,423,30.78,26.62,0,0,0.9
158,11,141,55,64,3.65,132,13.05,0.41,0,0.4,74.35
34,0.3,5,0,26,1.39,206,1.1,8.09,2.9,3.3,89.97
213,13,57,7,17,5.91,256,23.9,0,0,0,62
41,0.9,40,41,130,0.04,164,3.79,4.48,0,4.61,90.07
479,27,142,0,64,1.27,254,4.13,59.51,5,48.34,8.2
248,12,685,0,610,0.4,455,11.47,23.67,0,23.67,47.36
90,1.2,539,0,26,2.5,173,18.5,0,0,0,80.58
132,0.8,8,0,9,1.76,164,5.71,27.6,4.3,3.07,65.18
220,3.4,1615,0,32,1.01,119,3.31,44.08,2.8,27.26,44.23
356,0.8,1840,0,23,1.32,164,11.35,74.1,4.3,0,9.21
418,12,1167,1,67,4.8,141,10,68.19,3.3,0,7.3
365,10,562,0,0,1.45,274,4.02,64.62,16.1,32.14,19.46
308,1.1,5,0,9,0.39,49,0.17,82.8,5.3,72.56,15.79
366,30,1400,21,800,0,125,20,3.97,0,0,38
293,4.3,544,0,95,3.28,108,9.9,52.7,2.3,1.77,31
164,4.3,73,0,5,4.8,366,29.37,0,0,0,66.53
474,18,13,0,100,1.9,255,10,68.26,2.5,62.5,2.3
367,0.4,638,0,0,13.3,169,7.5,84.4,1.2,9.3,3
325,24,1808,73,661,0.18,116,24.51,2.04,0,0.55,42.17
146,5.9,46,361,36,0.56,423,21.62,0,0,0,72.66
310,28,682,28,12,1.4,155,11.7,2,0,0,54.8
180,5.5,115,0,131,0.37,250,3.57,30.17,0,0,59.7
467,18,297,0,0,1.9,112,6.5,69.5,4.1,35.6,4.5
176,8.8,350,0,0,1,0,6.5,17.7,1.1,0,65.7
590,50,203,0,41,1.9,747,24,21.83,6.6,9.29,1.1
884,100,0,0,0,0.03,0,0,0,0,0,0
112,1.9,118,8,11,0.86,235,22.64,0.14,0,0.07,75.37
350,8.9,346,0,49,1.3,284,4.6,62.9,2.8,34.82,21.8
386,5.2,4,0,14,2.29,532,9.72,75.2,16.6,6.47,8.09
184,12,51,932,20,0.5,272,18.44,0,0,0,68.26
279,4.8,211,0,1246,42.46,4466,21.93,52.1,10.4,7.27,7.3
371,4.3,906,0,32,0.82,100,10.4,71,0,0,11.7
99,0.5,6,0,65,8.17,723,1.82,25.31,0,0,70.58
398,1.7,33,0,32,0.59,105,3.33,92.39,3.3,44.97,2.15
205,14,90,643,12,1.63,314,18.6,0,0,0,63.55
497,25,194,0,69,0.49,359,12.46,59.86,3,53.25,1
174,13,828,0,184,0.21,30,6.71,6.83,0.5,0.42,70.5
384,4.4,21,11,35,1.9,244,14.16,71.27,3.3,1.88,9.01
149,11,145,72,66,1.31,132,9.99,1.61,0,1.39,76.4
185,13,138,66,60,3.64,210,13.87,1.35,0,0.94,70.43
498,23,343,0,0,3,22,5.7,68,1.6,20.7,2.5
123,3,55,0,10,2.31,260,22.59,0,0,0,71.67
317,2.5,3,0,19,0.9,214,2.5,80,7.5,67.5,14.8
190,7.3,902,0,32,0.86,83,2.6,29.08,5,21.76,58.65
490,25,231,0,94,1.92,725,13.44,52.88,3.8,40.32,6.97
211,17,667,2,26,0.25,68,1,13.3,0.5,4.25,67
168,4.4,666,8,44,1.24,305,13.19,18.74,1.2,15.2,60.99
186,14,373,47,111,0.5,149,3.99,11.61,0.3,3.98,69.1
172,7.6,83,0,17,0.99,337,24.38,0,0,0,66.76
146,7.2,70,0,11,2.78,328,20.23,0.05,0,0,71.59
318,5.8,506,0,41,3.9,131,10.65,55.77,2.2,3.55,26.05
302,20,566,0,11,0.89,252,15.79,15.09,0,0.08,47.13
96,2.4,85,0,6,0.09,300,17.5,0,0,0,79.9
388,6.3,8,0,173,2.78,494,9.5,73.8,8.5,23.2,1.9
24,0.2,8,0,25,0.73,253,3.23,4.1,1.9,0,91.82
203,2.1,364,0,265,2.45,210,8.8,40.4,6.7,8.09,45.7
187,7.2,71,5,159,0.69,170,5,25.7,0.8,24.71,61.43
374,2.3,837,0,43,4.5,148,12.9,76.4,7.4,0,5.5
390,3.2,598,0,93,3.7,202,12.1,76.6,6.3,0.94,5.1
334,0.9,557,0,40,5.94,495,9.6,80.4,22.9,1.01,5
650,55,292,0,72,2.84,818,24.8,14.23,7.8,6.35,1.93
238,19,1240,36,8,0.76,253,14.24,2.06,0,0,61.46
81,2.5,41,15,5,0.98,187,12.03,2.43,0,0,82.44
133,13,21,0,7,0.47,193,1.04,6.57,1.8,4.28,78.95
181,9.3,40,0,12,1.15,243,22.7,0,0,0,67.77
884,100,2,0,1,0.56,1,0,0,0,0,0
40,0.5,7,0,14,0.4,320,2,8.7,3.9,3.95,88
158,9,90,167,57,1.1,327,17.96,0,0,0,72.05
272,23,1120,0,92,1.25,313,11.33,5.61,0,0,56.42
319,20,1400,0,47,1.54,128,13.88,20.93,1.5,0.75,41.05
186,5.9,94,0,139,0.83,246,4.14,30.05,0.4,26.89,58.81
139,6.3,59,292,11,0.44,446,19.29,0,0,0,71.67
280,5.1,511,0,301,3.6,0,0.01,50.2,1.6,5.1,33.8
503,25,458,0,151,4.77,106,10.1,58.2,2.4,0.28,3.1
196,13,213,0,5,1.05,243,19.4,0.59,0,0,65.82
508,36,13,0,266,9.21,738,26.08,28.09,12.2,6.79,5.27
144,5,378,0,57,1.67,423,7.3,17.52,8.2,0.84,68.17
362,3.6,35,0,6,3.45,287,8.12,76.89,7.3,0.64,10.26
112,2,51,14,3,0.77,295,23.57,0,0,0,74.66
258,1.1,810,0,67,3.4,100,9,53.26,2.6,3.01,33.77
246,18,187,0,10,2.23,227,20.52,0,0,0,61.19
73,1.9,34,0,115,0.04,141,9.95,3.94,0,3.56,83.56
451,30,63,22,800,0.95,107,41.6,3.7,0,0.85,22.2
22,0.4,1430,0,61,0.32,113,0.8,4.56,2.6,1.6,90.2
228,5.8,358,0,84,1.83,173,6,38.27,1.4,8.84,48.24
438,12,331,0,0,2.6,57,4.8,78.1,1.1,37.6,4.5
336,0.7,792,0,35,2.7,252,14.38,74.62,0,0,6.88
398,4,504,0,133,1.19,712,6.67,83.73,3.7,65.55,1.5
157,7.1,75,0,11,2.92,330,21.78,0,0,0,71.15
264,22,62,0,5,0.02,19,0.98,16.07,0,16.07,60.37
309,20,628,13,761,0.12,63,27.35,4.06,0,0.26,44.29
292,31,34,23,69,0.03,97,2.17,2.96,0,2.96,63.5
340,36,27,63,66,0.1,95,2.84,2.74,0,2.92,57.81
541,34,310,0,18,3.53,458,7.41,51.06,43.4,0,5
343,1.6,30,0,150,10.85,1191,22.94,61.52,0,0,9.68
275,3.4,655,0,74,3.15,228,9.5,52.2,7.1,0.58,31.8
275,1.2,536,0,86,2.62,120,9.1,55.7,2.2,1.3,32.1
198,13,68,0,12,1.99,289,19.42,0,0,0,67.13
396,12,700,0,36,3.6,200,7.1,73,0,0,4.8
480,30,11,0,32,3.13,365,4.2,63.9,5.9,54.5,0.7
438,18,3202,0,204,0.5,428,7.68,60.52,1,10.26,3.78
145,2.6,80,0,6,2.79,362,28.49,0,0,0,68.51
404,5.5,604,0,155,1.31,65,4.7,84.1,1.3,0,3.1
335,3.1,11,0,41,4.06,577,12.62,70.59,10,2.6,11.15
158,8.8,916,8,21,9.6,197,15.05,4.65,0.3,3.2,68.5
158,6.3,37,0,18,0.41,636,23.73,0,0,0,69.17
367,3.2,5,0,9,1.29,250,7.54,76.25,3.6,0.66,11.8
112,5.2,42,4,7,1.66,211,15.2,0,0,0,79.6
884,100,0,0,0,0.13,0,0,0,0,0,0
439,22,12,0,188,5.82,2041,38.09,30.38,9.7,7.61,3.81
162,7.2,63,0,52,1.59,427,22.86,0,0,0,69.63
131,4.8,104,0,147,3.25,383,20.35,0,0,0,73.37
114,2.3,50,0,12,3.2,378,21.79,0,0,0,74.51
23,0.7,6,0,32,0.96,79,3.99,2.1,1.9,0.2,92.82
104,3.2,56,27,15,0.37,345,17.78,0,0,0,78.03
72,5,50,1,133,0,132,3.33,3.33,0,3.33,87.83
119,2.7,111,41,132,0.31,224,3.05,21.15,0.3,20.85,72.2
424,10,319,0,32,3,156,7.6,75.4,0.2,0,5.6
92,1,86,42,60,0.46,356,19.44,0,0,0,78.18
185,14,146,69,64,3.85,222,12.81,1.45,0,0.93,70.83
333,21,693,0,224,2.04,188,12.66,24.52,1.4,1.93,38.94
351,1.5,2,0,23,4.65,316,13.1,78.9,11.8,0,4.8
170,4,24000,0,60,2.23,403,17.3,16.1,0,14.51,3.3
108,2.2,97,0,95,0.11,125,3.23,18.39,0.3,11.59,75.15
325,0.3,200,0,7,2.71,7,0.3,90.4,8.6,0,8.7
462,21,122,0,213,1.09,341,6.19,63.81,1.2,56.92,6.79
503,52,89,220,31,0.73,107,8.85,0.89,0,0,38.19
191,5.6,25,0,36,3.67,941,7.4,29.24,5.2,0,56.27
371,3,317,0,32,1.01,294,0.1,85.8,0,49.16,10.2
105,6.7,328,49,126,0.21,163,3.77,7.4,0.1,4.78,80.66
87,1.1,293,0,89,0.74,329,18.06,0.04,0,0,79.02
59,0.4,36,0,110,0.07,141,10.19,3.6,0,3.24,85.1
444,13,776,0,80,5.02,210,9.34,71.52,3.4,15.01,2.73
328,4,6580,0,230,1,262,10,64.66,4.8,3.26,3.34
344,8,5730,0,150,1,262,13,58,0,0,4
333,1.8,39,0,149,14.22,397,50.14,35.51,0,0,7.1
35,0.5,17,11,6,0.33,488,3.91,6.04,2.5,0,88.52
415,12,253,65,543,10.9,678,28,48.73,3.1,34.89,7.76
251,17,57,12,142,1.02,238,4.72,19.78,0.9,17.35,57.52
97,3.8,44,18,5,1.01,210,11.3,3.7,0,0,80.5
43,2.5,6,0,51,0.86,86,3.81,3.6,0,0,90.07
62,2.7,36,0,32,1.03,194,6.9,2.4,0.1,1.27,87.4
55,2.7,5,0,31,0.82,180,4.8,2.9,0.1,1.31,89
203,2.9,513,0,76,3.1,98,9.1,40.5,12,2.29,46
387,4.5,8,0,7,3.19,329,12.94,77.78,14.5,0.87,3.32
293,3.3,479,0,18,1.62,48,3.48,61,1.4,32.73,30.18
316,28,992,36,12,1.2,316,11.16,3.36,0,1.31,53.94
124,5.1,136,34,18,5.92,198,18.18,0.07,0,0,76.03
131,5,282,22,39,0.53,176,4.42,16.97,1.2,6.59,72.33
371,4.3,906,0,32,2.97,100,10.4,71,0,0,11.7
446,20,2,0,277,15.7,1797,36.49,30.16,9.3,7.33,8.54
332,28,813,18,11,1.57,258,18.21,0.35,0,0,51.12
334,30,1289,22,6,0.72,215,12.5,2.1,0,0,51.5
527,26,92,0,0,1.8,42,3.9,70,1,41,0.4
112,3.8,104,0,22,1.1,177,8.82,10.8,2.3,0.51,76.03
316,29,1179,32,12,1.36,168,11.05,2.45,0,1.4,54.15
120,2.2,70,0,5,3.69,333,23.36,0,0,0,74.58
97,6.9,52,0,169,0.12,178,3.75,5.18,0,0,83.39
619,59,2,0,61,3.12,523,24.06,9.58,6.8,1.1,4.56
195,4.9,677,0,39,1.18,131,3.56,34.15,1.1,1.38,55.2
323,16,199,0,19,1.99,63,3.07,43.62,2,17.25,36.98
376,25,875,0,55,2.01,177,9.62,27.2,1.2,1.97,34.71
228,11,577,0,25,0.97,497,21.4,10.39,0.9,1.24,54.35
86,2.2,286,0,26,3.95,320,11.9,3.69,0,0,80.58
227,14,52,8,15,4.43,216,25.1,0,0,0,60
370,0.5,6,0,5,28.44,143,6.3,82.4,0.7,0.3,10.5
230,6.5,423,10,196,2.15,203,10.28,32.52,1.7,7.6,48.48
442,17,95,0,57,2.64,709,6.3,65.6,0,0,9
501,30,0,0,43,1.21,712,7.49,54.65,0,0,6
95,3,150,0,18,0.36,238,16.05,0,0,0,76.95
196,6,126,0,122,0.14,205,4.71,31.81,0,0,56.5
184,1,538,0,12,1.43,259,0.89,42.81,0.7,0,53.71
141,1.9,83,0,6,3.12,352,29.01,0,0,0,69.95
550,50,1531,0,68,3.4,257,21.5,5.4,0,0,19.1
174,13,84,10,207,0.38,105,11.26,3.04,0,0.27,71.7
195,1.5,631,0,70,2.1,318,5.2,43.3,4.7,2.42,47.2
310,24,704,27,690,0.18,126,20.38,2.53,0,1.76,48.7
299,24,751,110,566,0.2,129,18.09,2.98,0,2.32,51.42
376,1.1,51,0,20,0.19,147,0,97.57,0.4,94.7,1.43
346,11,430,0,19,1.47,92,5.3,57.9,1.6,0,23.6
21,0.4,3,0,21,0.79,459,2.71,3.11,1.1,0,92.73
122,4.9,1016,0,6,0.9,279,16.88,1.87,0,1.43,72.95
244,12,427,0,84,2.41,227,14.1,22.17,1.6,5.13,50.37
323,28,1112,11,48,1.03,281,14.3,2.98,0,2.98,51.3
297,21,73,21,22,1.29,362,25.69,0,0,0,52.75
346,31,731,0,18,1.18,253,14.25,0.65,0,0,51.08
241,19,1000,44,58,0.91,294,13.6,4,0,0,60.3
255,13,43,0,19,0.69,551,3.26,30.87,3.5,0.86,51.32
277,16,744,0,132,2.28,150,11.1,22.97,1.2,2.57,47.55
475,28,38,0,100,0.9,0,7.5,60,2.5,52.5,2.9
119,4.9,75,0,60,0.9,275,17.54,0,0,0,77.33
201,13,386,0,10,9.19,95,13.45,6.55,0,0,65.64
292,15,859,0,13,0.62,315,18.2,20.49,1.3,0,43.02
748,81,2684,9,6,0.44,66,5.05,0,0,0,11
352,3.3,27,0,147,3,418,11.2,75.7,9.1,20,7.4
165,3.1,46,2,62,0,174,1.54,32.75,0,18.46,61.77
322,0.3,80,0,3,0.22,5,0.8,79,0.1,46.8,19.8
195,14,74,0,83,1.12,423,16.39,0,0,0,71.52
235,17,1013,22,12,0.79,110,7.66,11.94,0.2,0,60.28
628,61,0,0,114,4.7,680,14.95,16.7,9.7,4.34,5.31
392,4.2,285,21,263,3.55,323,10.7,76.4,1.4,12.65,6.4
164,9.5,65,439,22,0.6,381,18.48,0,0,0,71.12
143,8.2,529,0,19,0.65,254,2.68,11.17,1.3,0,76
478,19,247,0,0,3.3,68,4.2,72.3,1.5,35.4,2.8
489,26,182,0,0,3.2,195,3.5,64.1,4.4,35.8,5.7
364,30,415,22,298,1.62,158,21.58,0.12,0,0.12,45.52
172,8.8,79,0,12,2.75,322,21.76,0,0,0,68.84
540,31,107,0,303,1.29,633,8.15,56.29,3.8,34.11,1.54
505,50,87,181,43,1.15,155,11.16,2.11,0,0,35.99
245,0.1,455,0,11,0.39,87,0.36,60.61,0.6,30.54,37.44
250,12,668,15,72,1.9,125,8.57,26.96,1,7.54,50.32
586,51,12,0,960,19.2,582,18.08,24.05,5.5,0,1.6
384,4.4,21,11,35,4.01,244,14.16,71.27,3.3,1.88,9.01
271,14,769,7,17,0.73,373,19.22,17.25,1.2,0.4,46.64
155,5.2,422,0,61,1.99,358,5.54,21.63,5.5,0,65.17
123,10,61,2,107,0.05,132,3.13,4.73,0,4.13,81.24
718,78,583,0,23,0.05,41,0.49,2.87,0,0.06,16.72
122,2.4,900,0,6,0.39,165,17.93,7.27,0,0,69.94
130,0.6,14,0,30,1.04,58,4.58,26.15,0,0,68.14
301,26,756,0,41,1.15,270,14.03,2.95,1,1.33,54.47
110,2.5,69,0,11,0.77,220,20.64,0,0,0,74.44
401,14,418,0,46,2.29,140,4.1,68,1.2,47.56,13.1
518,26,54,0,125,1,231,6.51,64.59,1,48.68,1.63
20,0.2,3,0,10,0.34,175,0.86,4.64,1.7,2.4,93.89
155,8.1,593,0,19,1.17,262,18.79,0.47,0,0,70.42
182,7.3,349,0,6,3.27,341,28.9,0.14,0,0,61.82
54,0.3,9,0,11,0.1,214,0.15,13.13,0.1,12.65,85.95
293,3.3,621,0,100,3.88,285,10.7,54.3,2.3,4.14,29.3
195,2.2,126,0,5,1.11,320,4.29,39.47,0,3.74,52.96
862,100,0,0,0,0,0,0,0,0,0,0
179,10,47,0,26,0.25,394,19.93,0,0,0,71.64
70,4.4,17,3,32,0.03,51,1.03,6.89,0,6.89,87.5
140,10,946,16,32,0.31,13,11.63,0.01,0,0,75
110,2.6,751,6,6,0.44,683,20.31,1.34,0,0.9,72.34
437,14,657,0,94,4.7,341,4.4,74.6,1.7,46.62,4.4
168,8.7,100,0,104,0.42,153,3.19,19.03,0,11.67,68.13
415,27,1696,21,1253,0.87,97,37.86,3.41,0,0.9,25
34,0.3,241,0,26,1.39,206,1.1,8.09,2.9,3.3,89.97
450,14,468,0,345,3.3,74,5.6,75.3,1.4,25.4,2.8
122,3.3,0,0,12,0,0,21.51,0,0,0,72.54
266,4.7,521,0,106,2.42,272,8.7,51.1,7.5,8.46,33.1
274,15,948,0,25,0.69,333,20.25,13.66,1.4,0,47.93
180,4.8,74,4,161,0.19,208,4.78,29.46,0.3,22.12,59.85
127,2.9,76,0,5,4.2,330,23.69,0,0,0,74.16
53,1.7,58,49,144,0.44,123,2.47,7.82,0.4,6.58,87.41
131,4.7,78,563,9,0.43,367,22.25,0,0,0,72.54
212,16,187,46,57,2.59,147,13.84,2.08,0,1.64,66.7
457,15,854,0,17,4.59,129,11.79,68.26,3.8,4.76,2
51,2.7,424,0,12,0.12,55,0.79,5.87,0,0.94,89.39
89,2.8,306,0,18,0.31,286,1.65,14.65,1.3,0.5,79.62
368,29,1976,62,12,1.83,356,25.9,1.6,0,0.2,38.25
409,15,4090,0,115,9.57,306,11.72,57.56,3.8,7.6,5.24
359,3.3,3,0,12,3.14,324,8.43,76.64,6.6,1.94,10.26
112,3,95,48,146,0.1,183,3.86,17.75,0,17.75,74.45
552,34,284,0,0,2.4,152,6.1,55.7,4.1,25.4,3.2
154,12,155,69,48,1.48,117,10.57,0.64,0,0.31,76.13
462,29,229,0,78,3.05,685,13.8,44.9,0,0,9.2
119,3.7,443,0,26,1.6,368,5.44,15.89,4.9,0.99,72.95
71,4,460,0,0,0,0,4.7,4.03,0.7,0.67,80.1
165,1.2,910,0,11,0.4,197,1.55,36.93,1.3,34.31,57.68
149,1.7,4,0,13,1.72,96,5.99,30.07,3.9,0.75,61.8
296,1,13,154,11,1.72,1534,9.58,75.37,11.5,2.21,9.5
529,33,124,0,2,0.26,669,2.48,59.29,0,7.77,2.98
279,1.1,72,0,14,2.11,224,2.1,65.1,2.6,49.65,31
322,32,773,0,53,0.27,66,5.95,3.06,1.1,0.85,56.33
233,9.5,744,24,8,1.15,129,12,1.6,0,0.85,63.8
26,0.3,48,0,19,0.2,129,0.6,5.23,2.3,2.5,93.5
451,15,233,0,24,5.05,140,12.34,66.36,4.1,6.02,5.05
197,14,51,190,47,0.97,384,16.93,0,0,0,68.19
97,2.4,60,31,60,0.9,290,17.63,0,0,0,78.77
274,4.4,390,0,66,1.83,227,7.9,52.3,4.3,0,33.6
374,27,14,20,961,0.17,111,28.4,3.4,0,1.31,37.8
240,7.4,162,0,73,1.1,68,3.7,39.6,1.2,21.3,48.7
358,2.2,7,0,48,7.39,668,23.91,63.1,10.8,0,7.82
173,8.9,1334,36,55,1.16,329,15.84,6.4,0,0,64.82
192,12,53,0,13,3.97,216,19.63,0,0,0,69.65
281,24,1379,34,125,1.24,320,10.34,6.31,0,1.97,55.93
253,20,900,10,10,0.72,156,13.33,4.8,0,0,58.93
153,6.1,953,0,11,2.04,101,22.9,0,0,0,69.1
223,12,348,0,47,1.01,298,6.21,21.39,3.7,1.63,58.15
60,3.3,1104,0,63,1.61,152,3.74,5.83,4,0.92,83.72
280,12,279,0,17,0.73,467,3.23,38.7,2.9,0.51,43.95
264,5,292,0,75,3.92,212,9.7,47.3,5.3,5.08,35.9
22,0.7,7,0,100,0.56,261,1.14,3.81,2.5,0.84,93.54
718,76,5,0,85,3.69,368,7.91,13.82,8.6,4.57,1.36
486,27,145,0,21,2.09,321,4.6,58.59,3.7,46.19,9.05
249,16,61,12,117,0.34,157,3.5,22.29,0,20.65,57.2
115,2,90,0,5,2.65,322,22.86,0,0,0,75.59
560,45,1,0,105,3.92,1025,20.16,27.17,10.6,7.66,4.37
